content,stars,title
"Todas as vezes que estive no hotel fui muito bem recebida, os recepcionistas são muito profissionais e realmente se propõe a ajudar e atendem nossas expectativas, A limpeza dos quartos, é simplesmente perfeita! Parabéns as camareiras. Tem um rapaz que pegas as malas que é muito bom, ele é maravilhoso, sorri pra gente com os olhos. Só tenho elogios, localização e hotel tudo muito bom!",4,Comodidade
content,stars,title
"Não recomendo!Não recomendo!Não recomendo! Não achei o adequado ao que encontramos. Hotel antigo, quarto pequeno, janelas com frestas que passam vento. Dormimos com vento na cabeça! Cheiro de xixi no banheiro e a noite muito cheiro de fritura do restaurante que fica abaixo. Nos quartos da frente, muito barulho oriundo da rua. O café da manhã é a grande decepção. Muito diferente do que promete!!! São inúmeras opções, porém são sobras de um dia pro outro, restinhos de milhares de coisas.... Deveriam diminuir a variedade e melhorar muito a qualidade, servindo pães quentes e outros pratos frescos. Os colchões são péssimos!! Único elogio é para o chuveiro. Atendentes poderiam ser mais acolhedores. Pedimos um copo de leite para a bebê e fomos atendidos com uma burocracia e má vontade..",4,Bom custo beneficio
Hotel localizado próximo ao centro da cidade e com excelente café da manhã! Atendimento cortês.,2,Decepção! Não recomendo!
"O hotel é bom , cafe da manhã bom, porém as vezes lotado, o quarto um pouco pequeno, chuveiro ótimo, cama boa, recomendo sim , e o custo não é alto . Além de que o buffet de sopas e massas muito bom !!",1,Decepcionante 
"Por fora até que é bonitinho, pelo site, o quarto parecia ser bom mas quando entramos nos decepcionamos com tudo! Hotel com quartos antigos, mal cuidados, mal decorados, limpeza deixou a desejar, o quarto cheirava fechado, úmido; ficamos em um quarto conjugado que não tinha vedamento acústico nenhum na porta, horrível!!! Não recomendo! A propósito, trocamos de hotel! ",1,"Péssimo, não vá. O café da manhã é horrível "
Olá Va!,3,Equipe gentil.
"hotel perto de tudo, novinho, tdos mto solicitos e simpáticos. Uma grata surpresa ter se hospedado no Cercano. Nossa viagem estava marcada para maio/2018, devido a greve dos caminhoneiros, entramos em contato com o hotel e acharam uma outra data p nós.  Estão tdos de parabéns. Equipe nota 1000.",4,Satisfeito
Recepcionistas podem melhorar na atenção e cordialidade.Cafe da manha excelente.Pratos poderiam conter identificação para vegetarianos.Atualizar canais de TV oferecidos com uma opção mais moderna ou até mesmo criar canal próprio.,5,voltaremos
"Hospedagem perfeita. Atendimento muito profissional e atencioso, cama confortável, calefação ótima, áreas comuns do hotel com decoração muito bela e confortável. Café da manhã ótimo. Muito bem localizado, pode-se ir para o centro caminhando, sem problemas.",5,Local super agradável 
"Um hotel excelente! Ótimo atendimento dos funcionários, quarto grande, cama boa,roupas de cama e banho limpas, chuveiro com água forte e quente, toalhas trocadas todos os dias. Fica perto do Centro, dá pra ir andando.",5,Excelente estadia
"Depois de me hospedar no Parador e chegar no Petit, me senti muito decepcionada. Hotel minúsculo, sem elevador, suba as escadas com suas malas pq ninguém vem ajudar, chuveiro de difícil regulagem. Café da manhã limitado e repetitivo, o hotel não tem uma sala de estar, eh apenas um balcão de atendimento e uma escadaria para 12 quartos, mas",2,Não faz jus ao nome da rede!
"Querido Marco,",5,Petit Casa da Montanha - Tudo de bom!!!
"Atendimento muito bom, educados, com excelente acolhimento e diversas dicas e orientações de locais turísticos.  Quarto muito bom, tv antiga apenas, ambiente limpo e Agradável. Café da manhã maravilhoso.",5,Excelente!
"A pousada era bem simples mas os funcionários muito atenciosos e simpáticos. O quarto era um pouco antigo, mas nada que incomodasse. O café da manha era servido na hora, disponível até meio dia! Achei isso muito bom, pois dormia até tarde sem me preocupar em perder o café.",4,Estadia Justa e Perfeita...
Olá!,5,Excelente
Olá Simone!,5,Férias inesquecíveis em Gramado
"Prezado Sr. Abrahao,",5,Excelente atendimento
"Prezada hóspede,",4,"Um bom hotel, com excelente Spa."
"Prezado VViaja, ",3,Olho no câmbio! Hotel cheio de pegadinhas!
"Prezada hóspede,",5,Muito bom
"Prezada hóspede,",5,Atendimento diferenciado
"Prezada hóspede,",5,Excelente hospedagem
"Ambiente agradável, atendimento excelente, quartos confortáveis, café da manhã com uma grande variedade, agilidade no check-in e check-out, funcionários sempre dispostos a ajudar e muito simpáticos, serviço de quarto 24h, volto e recomendo.",4,Muito bom. Excelente localização
O hotel é realmente muito bom. O atendimento desde o check-in até o check-out foi impecável. ,4,Excelente hotel
"Somente não avaliei bem, foi o acesso a internet, muito confusa pra leigos e as vezes não funcionava, no restaurante era uma rede no quarto outra rede, no lobby do hotel eram as duas redes ai não funcionava direito. No restante dou 10 !!!!!! Parabéns a todos !!!!!",5,Ambiente agradavel!
"Hotel da rede Radisson, localizado próximo à Avenida Paulista, quarto bem confortável, de bom tamanho, reformulado. O café da manhã é excelente, assim como o buffett do almoço, espetacular. Altamente recomendado",5,Parabéns Equipe Radisson Paulista!
"Todas as vezes que estive no hotel fui muito bem recebida, os recepcionistas são muito profissionais e realmente se propõe a ajudar e atendem nossas expectativas, A limpeza dos quartos, é simplesmente perfeita! Parabéns as camareiras. Tem um rapaz que pegas as malas que é muito bom, ele é maravilhoso, sorri pra gente com os olhos. Só tenho elogios, localização e hotel tudo muito bom!",4,Comodidade
"PrezadA Sra. Michelle,",4,Maravilhosa
"Prezado,",1,Lamentável
Olá Maicon!,5,Espetacular
"Estive na sexta feira no restaurante deste hotel provando o festival de risotos com minha namorada, atendes simpáticos, comida muito boa, provamos 3 tipos de risotos um melhor que o outro, concerteza voltarei e indicarei meus amigos! Obrigado pela receptividade! ",5,Excelente
"Estive no restaurante do hotel, no qual tive um atendimento espetacular, comida excelente, todos preparados para atender os clientes com muita qualidade.  Todos simpáticos.  Parabéns pela organização , com certeza voltarei ",5,Ótimo
"Prezado Sr. Vergilio,",5,Atendimento cordial
"Frequento o Verdemar faz quase um ano e meio. É sempre um local acolhedor, seguro, limpo. Os funcionários são muito atenciosos e dispostos a servir bem. O café da manhã é excelente. Uma casa fora de casa.",4,Hospedagem
"Gostei do hotel está localizado em um bairro tranquilo a hospedagem foi maravilhosa,pois chegamos antes do check e os funcionários logo deixaram nos entrarmos. O quarto q eu e minha mãe ficamos para ela q tem problemas de alergia alergicas estava com um pouco de cheiro de moço e tbm senti falta de um secador.Os funcionários estão de parabéns pelo atendimento foram super gentis. ",3,Turismo
"Este Hotel tem uma localização privilegiada no coração da Pituba a vista para o mar é linda e os quartos apesar de simples são amplos, tem transporte púbico na frente, comércio, restaurantes e um calçadão fantástico onde você pode fazer uma caminhada curtindo a brisa do Mar.",5,Bom hotel para viagens comerciais
"Prezado Sr. Gustavo,",4,Muito bom
"Quartos simples, camas confortáveis, bom chuveiro, ar condicionado, TV tela plana, frigobar. Localizado em frente a praia de PItuba com bom comércio no entorno, mercado, bancos, restaurantes posto de gasolina. Pode-se ir a pe para a praia de Amaralina.",5,É como estar em casa
"A meu ver, o ponto forte do hotel é o café da manhã. Tudo muito bom, com grande variedade em salgado e doce. É um hotel focado para quem vai a negócios, não apresenta lazer. O atendimento é bem atencioso. A internet disponibilizada não é das melhores.",3,Bom hotel e café da manha
Olá Neusa!,5,Hotel
Olá Rodrigo!,5,Muito satisfeito! 
Olá Luiz Carlos!,5,Excelente estada em Gramado!
"Passamos onze noites no Pedras Altas. Hotel muito limpo, equipe atenciosa, silencioso, ótimo café da manhã, quarto  pequeno  mas muito funcional, cama muito confortável, chuveiro ótimo. Resumindo, o hotel tem tudo que é necessário pra uma ótima estada em Gramado. Gostaria especialmente de dar meus parabéns a equipe de camareiras. Muito atenciosas e competentes. Finalizando, não fomos abordados nem uma vez pelos vendedores de um empreendimento imobiliário do mesmo grupo do hotel. Essa era minha única dúvida antes de fazer a reserva mas também nesse ponto não tive problema. Meu muito obrigado a toda equipe do Laghetto Pedras Altas!",5,Tudo perfeito!
"Caro robert08061963,",5,O melhor custo beneficio de Salvador
"Olá Daniel,",4,Ótima opção no Rio Vermelho
"Cara Patrícia,",4,Bom hotel
Olá Arthur!,5,Ótimo custo benefício 
"Prezada Lívia M,",3,Atendimento fraco
"Prezado Edson,",4,Estadia
Obrigado Rainer. Apareça quando puder. Abraço,4,Sempre que vou a Salvador fico na Pousada Estrela do Mar
"É uma pousada com uma localizacao ideal, perto de tudo e mesmo assim longe do barulho. Quartos limpos e bem arrumados, sempre super bem atendido pelos funcionarios, prestativos e simpaticos. Recomendo",5,Excelente atendimento
"Pousada agradável,  instalada em um casarão antigo, muito bem conservado, muito limpa e principalmente com excelente atendimento! Localizacao excepcional, próxima ao Farol e de bares e restaurantes e shopping. Com café da manhã. Bom Custo-benefício. ",5,Excelente
"Querida Hellen,",5,Excelente atendimento 
"Eu e minha amiga tínhamos acabado de chegar a Gramado e fomos direto no Pétit provar o famoso waffle belga servido todas as tardes no Pétit Casa da Montanha. Porém chegamos quase as 19 horas e o atendimento tinha acabado as 18 hs sem o meu conhecimento. Mauro, um secretário super prestativo do hotel, abriu uma exceção ao saber que éramos hóspedes do Casa da Montanha, e tivemos o prazer de provar essa delicia de waffle - 32 reais por pessoa e vem com direito a 3 acompanhamentos e ao chá ou café a vontade. Amei o chá de maçã com canela deles. Mauro além disso nos indicou alguns  restaurantes na cidade e nos recomendou a ir no La Caceria, um restaurante especializado em caças nobres o que também adoramos. Ele nos explicou como chegar no Casa da Montanha e nos situou na cidade explicando onde era a Rua Coberta, etc, ajudando-nos a aproveitar mais ainda a cidade. Achei o Pétit super bem localizado e super acolhedor. Para quem for sem carro, recomendo ficar lá. Obrigada por tudo, Mauro. E até a próxima! ",3,Decepção! 
"O hotel é excelente, muito limpo, os quartos ótimos! Jantamos duas vezes no hotel, e apesar da comida ter demorado um pouco para chegar, estava ótimo. É bem pertinho da rua coberta e da aldeia do papai noel.  Não tenho reclamações e com certeza recomendo. ",5,Excelente
"falta uma sala de jogos, para um dia de chuva e diversao antes de dormir; mas no resto muito bom, todos sairam satisfeitos com tudo, inclusive com a localização, perto do centro nao necessitando carro para passeio",5,ótimo
"FOMOS ROUBADOS!!!! Saímos de férias eu e minha namorado, uma pena que não tivemos uma boa estadia neste hotel, ao sairmos para conhecer a cidade, deixamos a chave na recepção para a limpeza do quarto, normal como qualquer um faz, e quando voltamos e fomos arrumar nossas coisas, FOMOS ROUBADOS! roupas e cosméticos foram levados, falamos com o gerente Adelar, levei a caixa de um produto em específico que tinha acabado de comprar para constatar o roubo e simplesmente o que foi me dito, foi que ali trabalham pessoas de confiança e mais nada! Ou seja, somos mentirosos, inventamos uma coisa dessas, um absurdo desses! Tanto é que já estávamos com hospedagem paga para 3 dias, e ficamos apenas um dia, saindo logo depois do ocorrido e por consequência perdendo também o valor que pagamos para ficar no hotel. Cheguei na cidade de meus sogros e registrei um B.O contra o hotel n° 1362/2018.",5,Ótima experiência 
Estimada Thais.,5,Hospedagem perfeita 
"Localização excelente, acomodações limpas e acolhedoras. Funcionários atenciosos e prestativos. Room service servido pelo resturante em anexo. O hotel tem uma parceria de uma ótima academia bem proxima do hotel. Adoramos tudo. Voltaremos com certeza.",5,Ótimo 
ótimo hotel.. localização excelente (ao lado da rua coberta).. quase sempre andávamos a pe.. chuveiro bom.. cama boa.. cafe bom mas ainda pode ser melhor... equipe cordial.. custo beneficio que vale a pena,5,Hotel excelente
"Lugar incrível,amei tudo limpo, cheiroso, pessoas ótimas para te atender, quando forem visita a cidade não deixem de ir super recomendo preço ótimo, vocês iram amar tudo muito bom eu amei irei retornar ",4,Muito boa experiência
"Fiquei no apartamento 206 no prédio principal. O chuveiro perfeito, ambiente agradável, porém, a cama de casal era duas camas de solteiro. Funcionários bem prestativos e com ótima dica para quem gosta de fondue no C'est Mieux. Piscina aquecida maravilhosa. Custo beneficio muito bom. Iremos retornar  ",4,Experiencia Boa
"Chegando ao Hotel tivemos uma recepção muito boa todos que trabalham são muitos atenciosos e educados, chegando já levaram as malas para dentro do quarto enquanto faziamos o check-in, o hotel bem arrumado, limpo, banheiro com chuveiro muito gostoso, quarto espaçoso com uma cama de casal king size e uma de solteiro, toalhas e roupas de cama sempre trocados e super limpos, piscina aquecida e jacuza tudo coberto, o barulho da av. das hortênsias que liga a canelas onde fiquei no quarto de frente para a avenida não atrapalha da para dormir e ficar de boa no quarto, super indico.",4,Boa estadia
"A nossa estadia foi perfeita, funcionários atenciosos, simpáticos, limpeza impecável, café da manhã fabuloso... O Hotel conta com serviços de manobrista que proporciona um conforto extra...Tudo novo...",5,Férias
"A localização do Hotel é maravilhosa! A poucos metros do centro de Gramado, dá para fazer quase tudo a pé. Alugamos um carro para ir de Porto Alegre para Gramado e pouco usamos, apenas para sair à noite ou para ir até Canela. ",5,"4 dias em Gramado , no capricho"
"Estrutura nova, acomodaçao comfortável, serviço de quarto impecável, chuveiro excelente e ótima localizaçao (15 min caminhada ate o Centro). Café da manhã delicioso.",5,Hotel excelente
"Hotel mais novo de uma rede famiar de 03 hoteis em Gramado, recem inaugurado tudo ainda novinho ficamos em um quarto bem amplo...camas confortaveis fica perto do portico de entrada de Gramado..estacionamento com manobrista ..cafe da manhã  e wi-fi ..tudo funcionando bem ..Toatlmente indicado.",5,Estadia tranquila e confortável 
No nosso retorno a Gramado elegemos novamente o Hotel das Hortências !,5,Estadia maravilhosa!
"a decoração , a recepção, o atendimento, limpeza dos apartamentos, os mimos , as pinturas , tudo nos chamaram atenção.",4,Muito bom
"Hotel muito bom funcionários atenciosos, trabalho de primeira, quartos aconchegante, café da manhã excelente, o hotel por todo é muito bom a estrutura, atendimentos externos, foi dias de sonho em Gramado.",4,muito bom...decidido de ultima hora e foi uma boa surpresa 
"Hotel situado em área tranquila, perto do pórtico de entrada. Novo e moderno, com elevador panorâmico, quarto confortável  e ótima ducha. Café da manhã maravilhoso, e toda equipe é super atenciosa. Mesmo após termos feito check out retornamos para pedir água quente para o chimarrão e fomos prontamente atendidos. ",2,SERVIÇO DEIXA A DESEJAR
"Nossa estadia foi maravilhosa. Logo que chegamos já tinham surpresas no quarto, com pétalas de rosas, chocolate etc. tudo foi excelente. Atendimento foi personalizado, café da manhã era muito bom, os ambientes limpos, a lareira funcionava e tínhamos aquecedor no quarto; enfim, tudo foi um sonho.",5,Recomendo!!!!!!!!!!
"Ótima pousada, escolha perfeita para quem não conhece a cidade, eles são atenciosos, hospitaleiros e de bom humor. Tem indicações boas.o quarto e perfeito, e fora que fica bem próximo do mini mundo. A pousada fica próximo dos restantes de found também . O café da manhã e perfeito tem de tudo que possa Imaginar...",5,Aniversário de casamento em Gramado
"Pousada muito boa, bem conservada, com atendimento de primeira, ótimo café da manhã, bem localizada, com limpeza impecável. Os quartos são bem amplos, com frigobar, calefação e banheiro muito bom. Recomendo!!!!!!",3,Pousada Honesta 
"Pousada possui temática relacionada ao tango, ou seja, você verá paredes com listras vermelhas e pretas em certos locais da pousada como também quadros de dançarinos e cantores. ",5,Excelente!
Nos que agradecemos.,5,Lugar impecável e atendimento encantador!
Agradecemos imensamente pelo seu feedback.,5,Excelente
Obrigado !,5,Pousada excelente!
"Experiência muito boa. Quarto limpo, cama muito boa e chuveiro muito bom também.",5,Excelente
"Um verdadeiro achado em Gramado. Bem localizada, dá para ir a pé até a Rua Coberta. Quartos limpos e bem equipados, funcionários super atenciosos, bom café da manhã e preços bem razoáveis. Sempre que voltar à cidade ficarei lá. ",4,Hotel tranquilo e honesto
"Excelente atendimento, quarto aconchegante e café da manhã maravilhoso, funcionários educados e atenciosos, tudo muito limpo e organizado e a pousada também é muito bonita por fora, dá para tirar lindas fotos",5,Muito bom!
Olá Janine!,5,Recomendo
Olá Caroline!,4,Ótimo!
"Fomos pra este hotel achando que o café da manhã era maravilhoso como falam aqui mas por Jesus, é tudo horrível lá, tem muita quantidade mas nenhuma qualidade, nada do que se come é realmente bom. Bolos horríveis que só tem gosto de ovo, apftelstrudel quase vomitei quando provei só tinha óleo, torta de amendoim estava azeda e você percebe que a maioria é sobra de um dia para o outro, tudo, tudo muito ruim mesmo, sou uma pessoa justa e jamais iria mentir. ",1,Velho
Olá Ricardo!,5,Experiência fantástica
Olá Celina!,4,MUITO BOM!!
A Pousada da Vovo Carolina e um lugar Espetacular ... excelente em todos os Aspectos. Requinte e Simplicidade se misturam tornando Aconchegante.Aptos Confortáveis e limpos. Adorei a Fachada da Pousada...o Cafe Maravilhoso com o Bolo da Vovo. Funcionários atenciosos...tudo Perfeito. ...,5,Aconchegante!  Maravilhosa!
"Simplicidade e sofisticação, café da manhã primoroso. Não fica no centro nervoso de gramado, mas está próximo de ótimos restaurantes, mercados e outras facilidades. Limpeza impecável, cordialidade característica da cidade.",5,Um Sonho...excelente em todos os aspectos...ótimos Apartamentos...ótimo Cafe ...Aconchegante.
Ai que saudade daquele chazinho de maçã com canela! Daquele café da manhã maravilhoso! Foram dias incríveis!  Obrigada a todos!  Limpeza nota mil! Todas as acomodaçoes confortaveis!Todos super prestativos! Voltarei!,4,Excelente 
"O que dizer da pousada Vovó Carolina, dos funcionários,  do café da manhã? Tudo excelente...ficamos num quarto muito amplo, com sacada convidativa para a vista do jardim.",5,Confortável e café da manhã especial 
Olá João!,5,"muito bom, lugar agradável e preço justo!"
Olá Hugo!,4,Confortável e aconchegante.
Olá Alexandre!,4,Bom hotel
Olá Renato!,5,Muito bom !
Olá Braulio!,3,"Bom hotel, mas podia ser ótimo!"
"A Pousada é muito bacana, os quartos reformados são ótimos, não tem carpete no piso, tem calefação, com espaço! ",5,Excelente!!
"Hotel que oferece conforto, excelente localização e principalmente atendimento. Quando de nossa chegada, na recepção a Equipe do Luiz foi muito atenciosa, o que se confirmou até nossa saída com as demais pessoas do staff. O quarto é bem confortável e de bom tamanho. O banheiro é um pouco apertado, mas o chuveiro compensa. Café da manha farto. Ótimos restaurantes e bares para aproveitar ao redor do hotel. Hotel para retornar com certeza.",3,Altos e baixos
"Localizado pertíssimo da Av. Paulista, e de estações de metrô,  é uma excelente opção para visitas, não somente a negócios mas tambem a eventos culturais na capital pois esta a pequena caminhada do MASP e do novo Inst.Moreira Sales praticamente na esquina.",5,Excelente
"Melhorar a seleção dos funcionários que tem acesso aos aptos na ausência dos hóspedes, pois fui vítima de furto, pelos meus cálculos foi o pessoal que higienizou o apto na terça dia21, isso é inadmissível, não pelo valor do abjeto que me custou 160 reais, mas pelo desconforto de eu procurar meu objeto e ter a certeza que foi extraído do apto na minha ausencia",5,Excelente!!!
"Ao chegar no hotel fui bem recebida pelo Edivan, o quarto é sem carpete o que é ótimo! O quarto é espaçoso e o armário da TV tem opção de fechar, o que é bom para pessoas que tem problema de dormir por conta da luz vermelha da tv. No quarto tem opção de menu de travesseiro.",4,Agradável
"Muito obrigado pelo gentil comentário com todos os destaques positivos. Ficamos felizes que voltará, estaremos à disposição. Atenciosamente, Jorge Castelo – Gerente Geral.",5,Um hotel elegante e bem localizado
"Agradecemos o reconhecimento e todos os elogios, estaremos à disposição sempre que necessário. Atenciosamente, Jorge Castelo – Gerente Geral.",5,Tratamento médico da minha filha
"Pedimos desculpas por eventuais incômodos durante sua hospedagem e lamentando sua percepção de alguns itens e serviços. Pratos e talheres são uma cortesia nossa e entregues na sequência dos pedidos de todos os hóspedes, incluindo aqueles que optam pelo menu do hotel. No café da manhã nenhum item é reaproveitado, sendo tudo preparado para um único dia e respeitando todas as normas sanitárias. Atenciosamente, Jorge Castelo - Gerente Geral.",2,Deve melhorar muito
"Excelente perfeito, um sonho de café da manhã. Maravilhoso, localização excelente próximo a avenida Paulista. Nada a reclamar, funcionários muito atenciosos. Tudo perfeito!!! Limpo e organizado, piscina",5,Sofisticação em boa localização com preço justo.
"Olá Angelo Luiz Ber...G, ",4,Boa experiência e bom custo/benefício
"Olá Sra. BiancaMascaro, ",4,Muito bom
"Prezada  phgomes123, ",5,Estadia Fantástica
"Olá Renlav, ",4,Fiquei surpreso...
"Olá Regina,",4,A equipe é muito atenciosa !
"Prezado Sr. Renato,",5,Feira
"Prezado Igor, ",5,Hotel muito confortável e ótimo atendimento
"Prezada Erica, ",5,Hotel nota 10
"Prezada Giovanna,",5,Ótima qualidade de serviço e atendimento
"Caro Marcos, ",4,Boa localizado 
"Cara Marlise, ",4,Um bom café da manhã.
"Caro Sr. Alexandre, ",4,Conhecendo mais 1 rede Accor
Agradecemos os seus comentários no seguimento da sua estada no Mercure São Paulo Jardins Hotel.,5,Ótimo atendimento
Agradecemos os comentários sobre sua estada no Mercure Hotel São Paulo Jardins,5,Tudo excelente.
"Olá, Marcio, ",5,Excelente custo benefício
Prezada Taciane.,4,Bem localizado 
"Prezado Sr. Marcelo,",5,Excelente 
Prezada Monica.,4,Boa escolha
"Caro Sr. Cristiano ,",5,ATENÇÃO E CORDIALIDADE
"Prezada Sra. Milene,",1,Péssimo atendimento 
"Prezada Sra. Monica,",3,Deixou a desejar!
"Querida Sra. Laura,",5,Eficiencia!Cordialidade! Aconchego!
"Prezada Sra. Jacqueline,",4,"Bom, mas dá pra melhorar um pouquinho!"
"Prezado Wilson,",5,Exelência em atendimento
"Prezado Hóspede,",5,Beleza e Sofisticação
"Prezado Sr. Francisco,",5,SIMPLESMENTE MARAVILHOSO
"Prezado Sr. José Maranhão,",5,São Paulo
"Prezada Sra. Bruna,",5,Memoravel!
"Prezada Sra. Maira,",5,Luxo e requinte
"Olá JorgeBorjao, ",5,Atendimento primoroso
"Caro Hóspede, ",5,Excelência e superação
"Olá Raferria, ",4,Bom hotel de rede
"Prezado Sr. Salemfalk51,",5,Restaurante
"Prezado hóspede,",3,Comum
"Prezada Sra. Bia,",5,Muito bom.
"Prezada BeatrizMidena,",5,Excelente 
"Fiquei hospedada à trabalho e achei um ambiente muito bom, uma estrutura incrível que oferece ótimas salas para eventos. O quarto é muito limpo e aconchegante. O restaurante oferece uma comida muito boa.",3,Hotel OK....
"Olá Sr. GuilhermeRiani, ",5,Agradável
"O hotel é muito bem localizado, com funcionários atenciosos, porém peca em um simples ferro de passar roupa ou lâmpada queimada. Apesar da boa estrutura os quartos já estão defasados em relação a concorrentes do mesmo nível.",4,Final de semana com amigas 
"Olá Angelo, muito obrigada pela sua avaliação! Que bom que você gostou das instalações do hotel e o mais importante - do atendimento! Notamos sua observação sobre os canais de TV. Espero que possa voltar em breve! Mariana",5,Hotel de primeira qualidade
"Olá Fábio, muito obrigada pela sua avaliação! Fico muito feliz que tenha gostado do hotel e principalmente que agradamos no atendimento. Espero que tenha a oportunidade de retornar em breve! Um abraço, Mariana",5,Excelencia
"Querida Nora, ficamos muito felizes em saber que você gostou de sua estadia conosco. Muito obrigado por mencionar os pontos que mais gostou. Nossa equipe ama o que faz e isso reflete em nosso atendimento. Esperamos que você possa retornar em breve. Um abraço, Yann.",5,Nota 1000
"Uau Donizeti, que avaliação maravilhosa de se ler! Ficamos muito felizes e orgulhosos em saber que conseguimos entregar um atendimento que excedeu suas expectativas. Vamos trabalhar com afinco para continuar com a mesma atenção. Espero que possa retornar em breve! Um abraço, Mariana",5,Conforto
"Sempre  que estou em SP a trabalho fico neste hotel que tem ótima  localização, academia  grande e uma tapioca no café  da manhã incrível.  Os funcionários também são muito atenciosos, em especial,  a equipe do restaurante no café. ",5,Funcionário atenciosos
